X,Y,OBJECTID,Ward,Precinct,Location2,Location3,Location4,Voting_Room,HP_Entrance_Only
777200.130568638,2948606.14897689,52,6,01,JAMES F. CONDON ELEMENTARY SCHOOL,"200 D STREET, 02127",,VOTE IN CAFETERIA,
777200.130568638,2948606.14897689,53,6,02,JAMES F. CONDON ELEMENTARY SCHOOL,"200 D STREET, 02127",,VOTE IN CAFETERIA,
777200.130568638,2948606.14897689,54,6,03,JAMES F. CONDON ELEMENTARY SCHOOL,"200 D STREET, 02127",,VOTE IN CAFETERIA,
778564.187551811,2947427.85933873,55,6,04,JULIE'S FAMILY LEARNING PROGRAM,"133 DORCHESTER STREET, 02127",,VOTE IN MULTI-PURPOSE ROOM,
780887.081199974,2947722.73276472,56,6,05,SOUTH BOSTON LIBRARY,"646 EAST BROADWAY, 02127",,VOTE IN MEETING ROOM,
781925.42853272,2946913.51194222,57,6,06,MONSIGNOR JOHN T POWERS ELDERLY HOUSING,"120 L STREET, 02127",,VOTE IN HALLWAY,
780887.081199974,2947722.73276472,58,6,07,SOUTH BOSTON LIBRARY,"646 EAST BROADWAY, 02127",,VOTE IN MEETING ROOM,
781925.42853272,2946913.51194222,59,6,08,MONSIGNOR JOHN T POWERS ELDERLY HOUSING,"120 L STREET, 02127",,VOTE IN COMMUNITY ROOM,
781925.42853272,2946913.51194222,60,6,09,MONSIGNOR JOHN T POWERS ELDERLY HOUSING,"120 L STREET, 02127",,VOTE IN COMMUNITY ROOM,
780070.762950718,2945916.24359556,61,7,03,FOLEY APARTMENTS,"199 H STREET, 02127",,VOTE IN COMMUNITY ROOM,
765103.03665264,2952946.64456098,62,5,10,BOSTON UNIVERSITY KILACHAND HALL,"91 BAY STATE ROAD, 02215",,"VOTE IN ROOM 101, KILACHAND COMMONS",
780944.810087144,2947399.0746194,63,7,01,DR. JOSEPH P. TYNAN SCHOOL,"650 EAST FOURTH STREET, 02127",,VOTE IN CAFETERIA,
777775.519181639,2946956.50201373,64,7,04,UP ACADEMY (FORMERLY KNOWN AS GAVIN EDUCATION COMPLEX),"215 DORCHESTER STREET, 02127",,VOTE IN ROOM 22.,
780944.810087144,2947399.0746194,65,7,02,DR. JOSEPH P. TYNAN SCHOOL,"650 EAST FOURTH STREET, 02127",,VOTE IN CAFETERIA,
777062.225332633,2945152.83403315,66,7,06,MARY ELLEN MCCORMACK TASK FORCE OFFICE,"345 OLD COLONY AVENUE, 02127",,,
777025.581377059,2946674.13381205,67,7,05,WEST NINTH STREET ELDERLY COMMUNITY ROOM,"185 WEST NINTH STREET, 02127",,VOTE IN COMMUNITY ROOM,
777062.225332633,2945152.83403315,68,7,07,MARY ELLEN MCCORMACK TASK FORCE OFFICE,"345 OLD COLONY AVENUE, 02127",,,
775459.172764465,2943493.63492373,69,7,08,BELLFLOWER APARTMENTS,"24 BELLFLOWER STREET, 02125",,,
775459.172764465,2943493.63492373,70,7,09,BELLFLOWER APARTMENTS,"24 BELLFLOWER STREET, 02125",,VOTE IN COMMUNITY ROOM,
772731.611946642,2949789.88348606,71,8,01,CATHEDRAL HIGH SCHOOL GYMNASIUM,"1336 WASHINGTON STREET, 02118",,,
772731.611946642,2949789.88348606,72,8,02,CATHEDRAL HIGH SCHOOL GYMNASIUM,"1336 WASHINGTON STREET, 02118",,,
770133.024624139,2945522.43992123,73,8,03,ORCHARD GARDENS COMMUNITY CENTER,"2 DEARBORN STREET, 02119",,VOTE IN GYMNASIUM,
770133.024624139,2945522.43992123,74,8,04,ORCHARD GARDENS COMMUNITY CENTER,"2 DEARBORN STREET, 02119",,VOTE IN GYMNASIUM,
773300.64197655,2940343.04247165,75,7,10,UPHAMS CROSSING,"530 COLUMBIA ROAD, 02119",,VOTE IN COMMUNITY ROOM.,
772434.352042466,2941681.94235289,76,8,05,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER,"650 DUDLEY STREET, 02125",,,
772434.352042466,2941681.94235289,77,8,07,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER,"650 DUDLEY STREET, 02125",,,
772434.352042466,2941681.94235289,78,8,06,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER,"650 DUDLEY STREET, 02125",,,
770746.414801553,2948276.89996348,79,9,02,WASHINGTON MANOR APARTMENTS,"1701 WASHINGTON STREET, 02118",,VOTE IN THE COMMUNITY ROOM,
